n_bits,threads,avg_cbs_ms,avg_lut_ms,avg_total_ms,iters_total
4,1,38.8939392623419,0.28834337209302324,39.182283013055894,2451.0
4,2,39.332834693933826,0.3014962536764706,39.63433114292279,2176.0
4,4,39.81110844715074,0.3219692564338235,40.133077561121326,2176.0
4,8,40.61006205009192,0.3229763727022059,40.93303856617647,2176.0
8,1,83.13232833789475,0.6625953231578947,83.79492384000001,950.0
8,2,41.48400518489836,0.5621946277831559,42.04619990222652,2066.0
8,4,42.090657403678605,0.6271867729912877,42.717844384801545,2066.0
8,8,42.9058870859375,0.6554758129595589,43.561362791360295,2176.0
12,1,130.95921064167914,1.6876389895052473,132.64684977511243,667.0
12,2,82.49029596603773,1.4210686396226415,83.91136474056603,1060.0
12,4,45.24505307617588,1.21744248006135,46.462495556237215,1956.0
12,8,42.45353906166087,1.1824247662854301,43.63596363799105,2011.0
16,1,156.335517629085,7.178147204248366,163.5136649019608,612.0
16,2,84.89966339401708,4.237860887179488,89.13752441709401,1170.0
16,4,45.00576685157096,2.8614878824485372,47.86725473618635,1846.0
16,8,45.590294806253496,2.946903277498604,48.5371982054718,1791.0
20,1,196.52071450000003,103.86708088848921,300.387795442446,278.0
20,2,122.95830030201343,61.35740558165548,184.3157057852349,447.0
20,4,82.97966893536804,40.69203191023339,123.67170078456013,557.0
20,8,48.04438578571429,24.181337697619046,72.22572335833333,840.0
24,1,253.73863,1908.1862112380954,2161.9248411428575,21.0
24,2,135.12825667857143,966.3337375178571,1101.4619941964286,56.0
24,4,90.66448871171171,647.0398536036037,737.7043425495496,111.0
24,8,48.40922899099099,334.6078374774775,383.01706634234233,111.0
